SYMBOL,SECTOR
AMTL,POWER - GENERATION/DISTRIBUTION
ANANTRAJ,CONSTRUCTION & CONTRACTING - REAL ESTATE
ANDHRABANK,BANKS - PUBLIC SECTOR
ANDHRACEMT,CEMENT - MAJOR
ANDHRSUGAR,SUGAR
ANKITMETAL,STEEL - SPONGE IRON
ANSALAPI,CONSTRUCTION & CONTRACTING - HOUSING
ANSALHSG,CONSTRUCTION & CONTRACTING - HOUSING
ANTGRAPHIC,PRINTING & STATIONERY
APARINDS,RUBBER
APCOTEXIND,RUBBER
APLAPOLLO,STEEL - TUBES/PIPES
APLLTD,PHARMACEUTICALS
APOLLOHOSP,HOSPITALS & MEDICAL SERVICES
APOLLOTYRE,TYRES
APPAPER,PAPER
APTECHT,COMPUTERS - SOFTWARE - TRAINING
AQUA,AQUACULTURE
ARCHIDPLY,MISCELLANEOUS
ARCHIES,PRINTING & STATIONERY
ARIES,MISCELLANEOUS
ARROWTEX,TEXTILES - WEAVING
ARSHIYA,TRANSPORT & LOGISTICS
ARVIND,TEXTILES - DENIM
ARVINDREM,PHARMACEUTICALS
ASAHIINDIA,GLASS & GLASS PRODUCTS
ASAHISONG,DYES & PIGMENTS
ASAL,AUTO ANCILLARIES
ASHAPURMIN,MINING/MINERALS
ASHIANA,CONSTRUCTION & CONTRACTING - HOUSING
ASHIMASYN,TEXTILES - SPINNING - COTTON BLENDED
ASHOKA,MISCELLANEOUS
ASHOKLEY,AUTO - LCVS/HCVS
ASIANHOTNR,HOTELS
ASIANPAINT,PAINTS/VARNISHES
ASIANTILES,CERAMICS/GRANITE
ASSAMCO,PLANTATIONS - TEA & COFFEE
ASTEC,PHARMACEUTICALS
ASTRAL,PLASTICS
ASTRAMICRO,TELECOMMUNICATIONS - EQUIPMENT
ASTRAZEN,PHARMACEUTICALS
ATFL,EDIBLE OILS & SOLVENT EXTRACTION
ATLANTA,CONSTRUCTION & CONTRACTING - CIVIL
ATLASCYCLE,MISCELLANEOUS
ATUL,DYES & PIGMENTS
ATULAUTO,AUTO - 2 & 3 WHEELERS
